Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
4-Jan-22,04,"1,121.60","1,246.27",84.45,83.74,0.00,0.71,104.83,103.63,0.00,1.20,11,-2
4-Jan-22,05,"1,153.40","1,290.78",92.69,91.89,0.00,0.80,137.89,136.05,0.00,1.84,11,-3
4-Jan-22,06,"1,265.70","1,398.14",97.74,97.19,0.00,0.55,136.75,135.18,0.00,1.57,11,-3
4-Jan-22,07,"1,424.40","1,552.26",99.62,99.25,0.00,0.37,180.98,179.10,0.00,1.88,11,-3
4-Jan-22,08,"1,526.00","1,645.76",123.93,123.05,0.00,0.88,244.90,242.71,0.00,2.19,10,-3
4-Jan-22,09,"1,505.40","1,656.75",113.21,112.45,0.01,0.75,202.18,199.95,0.00,2.23,11,-2
4-Jan-22,10,"1,453.80","1,630.00",100.32,99.64,0.01,0.67,127.49,126.02,0.00,1.47,14,-3
4-Jan-22,11,"1,408.20","1,601.26",100.05,98.89,0.01,1.15,91.61,90.17,0.00,1.44,18,0
4-Jan-22,12,"1,414.80","1,574.66",90.40,89.12,0.01,1.27,88.38,86.68,0.00,1.70,20,0
4-Jan-22,13,"1,389.10","1,547.11",72.58,71.52,0.00,1.06,80.66,79.11,0.00,1.55,23,2
4-Jan-22,14,"1,382.90","1,533.64",69.31,68.33,0.00,0.98,81.08,79.40,0.00,1.68,26,4
4-Jan-22,15,"1,412.80","1,534.45",70.10,69.04,0.00,1.06,90.16,88.31,0.00,1.85,30,6
4-Jan-22,16,"1,437.60","1,568.09",83.76,82.40,0.00,1.36,120.32,118.16,0.00,2.16,31,9
4-Jan-22,17,"1,575.50","1,667.01",100.75,99.71,0.00,1.04,219.39,216.06,0.00,3.33,30,12
4-Jan-22,18,"1,637.80","1,762.37",126.21,125.05,0.00,1.16,218.01,214.81,0.00,3.20,28,13
4-Jan-22,19,"1,637.10","1,745.81",108.49,107.43,0.00,1.06,213.71,210.84,0.00,2.87,25,12
4-Jan-22,20,"1,585.80","1,685.90",98.28,97.39,0.00,0.89,188.00,185.70,0.00,2.30,24,12
